track_id,track_name,track_number,duration_ms,duration_min,artist,album,popularity,release_date,spotify_url
5GnZCU9UmSRnIUypNwfjgS,"Finale ""Wicked"" - From ""Wicked"" Original Broadway Cast Recording/2003",19,101693,1.69,"Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),50,2013-01-01,https://open.spotify.com/track/5GnZCU9UmSRnIUypNwfjgS
7HZvTYEdNPiPdweW1868Vm,For Good,1,254853,4.25,"Stephen Schwartz, LeAnn Rimes, Delta Goodrem",Wicked (Original Broadway Cast Recording / Deluxe Edition),48,2013-01-01,https://open.spotify.com/track/7HZvTYEdNPiPdweW1868Vm
2EOEVmUEZrB43Y1wtdo8pR,I'm Not That Girl,2,229653,3.83,"Stephen Schwartz, Kerry Ellis, Brian May",Wicked (Original Broadway Cast Recording / Deluxe Edition),0,2013-01-01,https://open.spotify.com/track/2EOEVmUEZrB43Y1wtdo8pR
4Es0wqjFJ3k9iiix58QAa6,Making Good,3,240306,4.01,"Stephen Schwartz, Stephanie J. Block",Wicked (Original Broadway Cast Recording / Deluxe Edition),0,2013-01-01,https://open.spotify.com/track/4Es0wqjFJ3k9iiix58QAa6
7q1yfYNe3iODVI366oqb9X,Solang ich dich hab,4,227320,3.79,"Stephen Schwartz, Willemijn Verkaik, Mark Seibert",Wicked (Original Broadway Cast Recording / Deluxe Edition),0,2013-01-01,https://open.spotify.com/track/7q1yfYNe3iODVI366oqb9X
3ZBUmaRN1hitj5L0pJTifL,Gutes tun,5,213066,3.55,"Stephen Schwartz, Willemijn Verkaik",Wicked (Original Broadway Cast Recording / Deluxe Edition),0,2013-01-01,https://open.spotify.com/track/3ZBUmaRN1hitj5L0pJTifL
49xRJIQN8AZ1cN5pW68lOr,Dancing Through Life,6,457093,7.62,"Stephen Schwartz, SHIKI THEATRE COMPANY, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),35,2013-01-01,https://open.spotify.com/track/49xRJIQN8AZ1cN5pW68lOr
0aZqRkok4WsO9tZVFBI2zc,Popular,7,225266,3.75,"Stephen Schwartz, SHIKI THEATRE COMPANY, Stephen Oremus",Wicked (Original Broadway Cast Recording / Deluxe Edition),34,2013-01-01,https://open.spotify.com/track/0aZqRkok4WsO9tZVFBI2zc
5jzxDXbLV4LhPoITuFSpG0,Defying Gravity - Dance Mix,8,226386,3.77,"Stephen Schwartz, Idina Menzel, Tracy Young",Wicked (Original Broadway Cast Recording / Deluxe Edition),0,2013-01-01,https://open.spotify.com/track/5jzxDXbLV4LhPoITuFSpG0
127eX4wsdCOoM0Q6Frer8R,Popular Song,9,199546,3.33,"MIKA, Stephen Schwartz, Priscilla Renea, Mathieu Jomphe Lépine, Ariana Grande, Jason Nevins",Wicked (Original Broadway Cast Recording / Deluxe Edition),35,2013-01-01,https://open.spotify.com/track/127eX4wsdCOoM0Q6Frer8R
